name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Home Sweet Home For Your Family near new skytrain,Rae And Charlie,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,7,107
1BR Condo-BRT to BTS Chong Nonsi,Sue,Yan na wa,13.67907,100.52887,Entire home/apt,935,28,5,331
"2BR-Airy,Cosy in Thai Neighbourhood",Artra,Din Daeng,13.78588,100.56957,Entire home/apt,1504,2,1,360
"2 BR - Near BTS, Wifi",Sue,Khlong San,13.72162,100.5075,Entire home/apt,2251,7,5,314
Unit in relaxing garden setting near new skytrain,Rae And Charlie,Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,7,146
Entire Studio center of Bangkok,Carlos,Bang Rak,13.72479,100.53039,Private room,728,21,2,316
1Br LUXE/BTS Phrakanong/CBD/WiFi,Piya,Khlong Toei,13.71166,100.59326,Entire home/apt,1143,360,8,89
Stylish 1 bed 3 min walk from BTS,Suchela,Khlong Toei,13.7142,100.59233,Entire home/apt,866,120,2,365
BKK PARAGON/Pratunam 5mins BTS 2nd fl.,Pemigar,Ratchathewi,13.74978,100.53301,Entire home/apt,1009,3,5,57
New 1BR in Sathorn near Skytrain!,Carlos,Bang Rak,13.72386,100.52563,Private room,800,180,2,365
Cozy Apt @ Ratchayothin BTS Great Facility,Nokina,Chatu Chak,13.83028,100.57065,Entire home/apt,866,4,2,0
Spare room in a gated compound,Annie,Bang Na,13.65979,100.60643,Private room,700,1,1,365
❂City center☾Train station☽Private Bathroom8Aircon,Evan,Sathon,13.72074,100.54712,Entire home/apt,800,1,37,346
✭✭✭✭Cozy Hideawy in BKK Center near MRT Lumpini✭✭✭,Evan,Sathon,13.72062,100.54707,Entire home/apt,609,1,37,312
2-room apartment@heart of BKK,Jirapha,Parthum Wan,13.74381,100.54792,Entire home/apt,2250,7,1,70
Cozy Studio Sleep3 at Phattanakan 26,GrongGaew,Suanluang,13.73693,100.61644,Private room,1004,2,4,365
1 BR on Srinakrin Rd. Parkland,Dujdao,Bang Na,13.65441,100.64548,Private room,797,1,1,362
River view near ICON SIAM 74sqm. Free pick up,Hataipat,Khlong San,13.71847,100.50914,Entire home/apt,3067,45,5,0
Close to river and near city. Free pick up,Hataipat,Khlong San,13.71672,100.5092,Entire home/apt,1286,5,5,0
Cozy 7th,Kia,Chatu Chak,13.79616,100.56478,Private room,1636,2,1,179
Comfortable studio room on Ratchada,Pantanida,Huai Khwang,13.79216,100.57502,Entire home/apt,540,28,1,10
Modern Condo 2 mins walk to Sukhumvit BTS Skytrain,Kiattisak,Phra Khanong,13.69784,100.60635,Entire home/apt,999,5,53,336
"BTS Phyathai/Airport Link, top floor views!",Kostas,Ratchathewi,13.75409,100.53552,Entire home/apt,3587,7,1,270
1BR Cosy & Perfect Location @Asoke BTS/MRT,Jocelyn,Khlong Toei,13.73606,100.55934,Entire home/apt,1845,3,1,336
"Cozy Studio by BTS: Wifi, Pool #1",Feb,Phra Khanong,13.70396,100.60281,Entire home/apt,1264,180,6,16
Newly Renovated 3BR Suite 146sqm BTS Thonglo,Nisa,Vadhana,13.73958,100.5865,Entire home/apt,4720,2,2,347
Quiet&Cozy Place on Thong Lor Street,Warin,Vadhana,13.73862,100.585,Private room,1049,3,1,365
One bedroom suite with kitchen@ center of Bangkok,Attakorn,Parthum Wan,13.74551,100.54235,Entire home/apt,3500,5,1,0
